,date,pm25,pm10,o3,no2,so2,co,AQI_PM25,AQI_PM10,AQI
1,12/28/2018,150,78,8,19,1,7,323.255814,78,323.255814
2,12/29/2018,159,71,11,16,4,7,330.1627907,71,330.1627907
3,2/14/2019,127,59,64,10,2,15,305.6046512,59,305.6046512
4,2/15/2019,97,54,42,3,3,11,221.4827586,54,221.4827586
5,2/18/2019,94,71,19,18,3,15,211.2413793,71,211.2413793
6,2/19/2019,129,59,15,16,2,15,307.1395349,59,307.1395349
7,2/20/2019,91,70,20,19,3,16,201,70,201
8,2/21/2019,105,74,16,22,3,13,248.7931034,74,248.7931034
9,2/22/2019,110,72,21,29,3,14,265.862069,72,265.862069
10,2/23/2019,118,68,21,23,2,15,293.1724138,68,293.1724138
11,2/24/2019,115,60,21,24,2,14,282.9310345,60,282.9310345
12,2/25/2019,89,67,43,14,2,10,196.5862069,67,196.5862069
13,2/26/2019,119,71,38,13,2,13,296.5862069,71,296.5862069
14,2/27/2019,112,73,34,11,2,10,272.6896552,73,272.6896552
15,2/28/2019,105,86,49,22,2,15,248.7931034,86,248.7931034
16,3/1/2019,145,68,22,14,3,9,319.4186047,68,319.4186047
17,3/2/2019,112,64,62,15,2,11,272.6896552,64,272.6896552
18,3/3/2019,102,69,82,13,2,11,238.5517241,69,238.5517241
19,3/4/2019,120,70,42,11,2,13,300,70,300
20,3/5/2019,122,70,39,8,2,6,301.7674419,70,301.7674419
21,3/6/2019,105,89,45,17,2,13,248.7931034,89,248.7931034
22,3/7/2019,125,82,94,20,3,12,304.0697674,82,304.0697674
23,3/8/2019,128,79,63,13,2,12,306.372093,79,306.372093
24,3/9/2019,135,66,35,13,2,13,311.744186,66,311.744186
25,3/10/2019,102,64,32,15,3,11,238.5517241,64,238.5517241
26,3/11/2019,94,74,31,16,8,12,211.2413793,74,211.2413793
27,3/12/2019,121,77,26,15,7,10,301,77,301
28,3/13/2019,120,73,26,4,4,6,300,73,300
29,3/14/2019,108,70,25,15,2,7,259.0344828,70,259.0344828
30,3/15/2019,105,78,28,27,2,8,248.7931034,78,248.7931034
31,3/16/2019,120,67,54,23,3,9,300,67,300
32,3/17/2019,122,69,50,22,2,8,301.7674419,69,301.7674419
33,3/18/2019,118,64,41,18,2,7,293.1724138,64,293.1724138
