,date,pm25,pm10,o3,no2,so2,co,AQI_PM25,AQI_PM10,AQI
1,12/31/2013,165.3442544,196,30,11,9,19,335.0316371,164.1208054,335.0316371
2,10/1/2014,124,79,38,36,5.630362189,5,303.3023256,79,303.3023256
3,10/2/2014,127,120.55978,22.37180723,24.79590854,5.630362189,9.759313014,305.6046512,113.9960954,305.6046512
4,10/5/2014,165.3442544,97,35,73,1,12,335.0316371,97,335.0316371
5,10/6/2014,170,105,44,73,1,10,338.6046512,103.6577181,338.6046512
6,10/7/2014,177,86,67,56,1,7,343.9767442,86,343.9767442
7,10/8/2014,161,72,69,61,8,6,331.6976744,72,331.6976744
8,10/9/2014,126,78,58,61,2,8,304.8372093,78,304.8372093
9,10/10/2014,145,94,100,77,5,9,319.4186047,94,319.4186047
10,10/11/2014,167,120.55978,22.37180723,24.79590854,5.630362189,9.759313014,336.3023256,113.9960954,336.3023256
11,10/12/2014,165.3442544,74,35,50,1,6,335.0316371,74,335.0316371
12,10/13/2014,123,48,30,28,1,5,302.5348837,48,302.5348837
13,10/14/2014,79,119,72,22,2,6,162.4482759,112.9597315,162.4482759
14,10/15/2014,121,106,73,41,3,7,301,104.3221477,301
15,10/16/2014,165,99,22.37180723,98,5.630362189,21,334.7674419,99,334.7674419
16,10/17/2014,176,110,66,61,6,10,343.2093023,106.9798658,343.2093023
17,10/18/2014,194,135,65,60,7,15,357.0232558,123.590604,357.0232558
18,10/19/2014,218,126,112,45,3,11,375.4418605,117.6107383,375.4418605
19,10/20/2014,204,124,112,53,3,12,364.6976744,116.2818792,364.6976744
20,10/21/2014,203,146,100,72,8,18,363.9302326,130.8993289,363.9302326
21,10/22/2014,222,165,101,83,4,18,378.5116279,143.5234899,378.5116279
22,10/23/2014,258,371,47,70,7,13,403.7831325,326.0632911,403.7831325
23,10/24/2014,353,120.55978,3,101,3,26,441.5542169,113.9960954,441.5542169
24,10/25/2014,462,120.55978,22.37180723,24.79590854,5.630362189,9.759313014,484.8915663,113.9960954,484.8915663
25,10/26/2014,165.3442544,103,12,91,3,21,335.0316371,102.3288591,335.0316371
26,10/27/2014,176,142,69,88,5,17,343.2093023,128.2416107,343.2093023
27,10/28/2014,229,155,58,74,6,14,383.8837209,136.8791946,383.8837209
28,10/29/2014,271,191,75,86,5,18,408.9518072,160.7986577,408.9518072
29,10/30/2014,308,187,54,83,14,15,423.6626506,158.1409396,423.6626506
30,10/31/2014,279,200,64,75,9,16,412.1325301,166.7785235,412.1325301
31,11/1/2014,288,118,82,66,8,14,415.7108434,112.295302,415.7108434
32,11/2/2014,290,145,79,75,3,15,416.5060241,130.2348993,416.5060241
33,11/3/2014,257,150,65,73,5.630362189,13,403.3855422,133.557047,403.3855422
34,11/4/2014,264,207,40,83,3,16,406.1686747,171.4295302,406.1686747
35,11/5/2014,340,132,84,49,3,10,436.3855422,121.5973154,436.3855422
36,11/6/2014,254,136,35,83,2,15,402.1927711,124.2550336,402.1927711
