,date,pm25,pm10,o3,no2,so2,co,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,AQI,AQI_Category
1,10/3/2025,81,52,14,2,1,7,169.2758621,52,2.5,1.25,162.4050633,14,169.2758621,Moderate
2,10/4/2025,80,44,14,2,1,7,165.862069,44,2.5,1.25,162.4050633,14,165.862069,Moderate
3,10/5/2025,76,47,14,1,1,7,152.2068966,47,1.25,1.25,162.4050633,14,162.4050633,Moderate
4,10/6/2025,80,53,14,2,1,6,165.862069,53,2.5,1.25,149.8734177,14,165.862069,Moderate
5,10/7/2025,87,55,14,2,2,7,189.7586207,55,2.5,2.5,162.4050633,14,189.7586207,Moderate
6,10/8/2025,81,54,14,1,2,6,169.2758621,54,1.25,2.5,149.8734177,14,169.2758621,Moderate
7,10/9/2025,77,54,14,2,2,8,155.6206897,54,2.5,2.5,174.9367089,14,174.9367089,Moderate
8,10/10/2025,85,54,14,2,3,6,182.9310345,54,2.5,3.75,149.8734177,14,182.9310345,Moderate
9,10/11/2025,84,54,14,2,3,7,179.5172414,54,2.5,3.75,162.4050633,14,179.5172414,Moderate
10,10/12/2025,85,45,14,1,1,6,182.9310345,45,1.25,1.25,149.8734177,14,182.9310345,Moderate
11,10/13/2025,74,40,14,1,1,8,145.3793103,40,1.25,1.25,174.9367089,14,174.9367089,Moderate
12,10/14/2025,65,36,14,1,2,8,114.6551724,36,1.25,2.5,174.9367089,14,174.9367089,Moderate
13,10/15/2025,58,35,14,1,1,6,96.62068966,35,1.25,1.25,149.8734177,14,149.8734177,Moderate
14,10/16/2025,57,33,14,2,1,6,94.93103448,33,2.5,1.25,149.8734177,14,149.8734177,Moderate
15,10/17/2025,51,34,14,2,1,7,84.79310345,34,2.5,1.25,162.4050633,14,162.4050633,Moderate
16,10/21/2025,43,32,14,1,1,5,71.27586207,32,1.25,1.25,137.3417722,14,137.3417722,Moderate
17,10/22/2025,49,37,14,2,1,5,81.4137931,37,2.5,1.25,137.3417722,14,137.3417722,Moderate
18,10/24/2025,49,24,14,2,1,6,81.4137931,24,2.5,1.25,149.8734177,14,149.8734177,Moderate
19,10/25/2025,42,24,14,2,2,6,69.5862069,24,2.5,2.5,149.8734177,14,149.8734177,Moderate
20,10/26/2025,42,27,14,2,2,7,69.5862069,27,2.5,2.5,162.4050633,14,162.4050633,Moderate
21,10/27/2025,49,30,14,1,1,8,81.4137931,30,1.25,1.25,174.9367089,14,174.9367089,Moderate
22,10/28/2025,54,26,14,1,1,7,89.86206897,26,1.25,1.25,162.4050633,14,162.4050633,Moderate
23,10/30/2025,60,33,14,2,1,5,100,33,2.5,1.25,137.3417722,14,137.3417722,Moderate
24,10/31/2025,64,38,14,2,2,7,111.2413793,38,2.5,2.5,162.4050633,14,162.4050633,Moderate
25,11/1/2025,69,44,14,2,1,5,128.3103448,44,2.5,1.25,137.3417722,14,137.3417722,Moderate
26,11/2/2025,74,43,14,2,2,5,145.3793103,43,2.5,2.5,137.3417722,14,145.3793103,Moderate
27,11/5/2025,80,52,14,1,1,6,165.862069,52,1.25,1.25,149.8734177,14,165.862069,Moderate
28,11/6/2025,84,55,14,1,1,8,179.5172414,55,1.25,1.25,174.9367089,14,179.5172414,Moderate
29,11/7/2025,85,57,14,1,1,7,182.9310345,57,1.25,1.25,162.4050633,14,182.9310345,Moderate
30,11/8/2025,80,57,14,1,1,6,165.862069,57,1.25,1.25,149.8734177,14,165.862069,Moderate
31,11/9/2025,80,56,14,2,1,5,165.862069,56,2.5,1.25,137.3417722,14,165.862069,Moderate
32,11/10/2025,78,55,14,2,1,7,159.0344828,55,2.5,1.25,162.4050633,14,162.4050633,Moderate
33,11/12/2025,75,51,14,2,1,7,148.7931034,51,2.5,1.25,162.4050633,14,162.4050633,Moderate
